Sum of TOTAL_REVENUE,Column Labels,,,,,,,
Row Labels,Astoria,Hell's Kitchen,Lower Manhattan,Grand Total,,,,
202301, R27 313.66 , R27 820.65 , R26 543.43 , R81 677.74 ,,,,
202302, R25 105.34 , R25 719.80 , R25 320.05 , R76 145.19 ,,,,
202303, R32 835.43 , R33 110.57 , R32 888.68 , R98 834.68 ,,,,
202304, R39 477.61 , R40 304.14 , R39 159.33 , R118 941.08 ,,,,
202305, R52 428.76 , R52 598.93 , R51 700.07 , R156 727.76 ,,,,
202306, R55 083.11 , R56 957.08 , R54 445.69 , R166 485.88 ,,,,
Grand Total, R232 243.91 , R236 511.17 , R230 057.25 , R698 812.33 ,,,,
,,,,,,,,Total revenue increased more in June for both stores
, revenue analysis  by month and store location,,,,,,,Lowest sales seen eas in February
,,,,,,,,
,,,,,slide can be named revenue analysis by srore & time of day,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Sum of TOTAL_REVENUE,Column Labels,,,,,,,
Row Labels,afternoon,evening,morning,night,Grand Total,,,
202301,R18 980.08,R16 596.37,R45 788.46,R312.83,R81 677.74,,,
202302,R18 075.04,R15 651.83,R42 070.91,R347.41,R76 145.19,,,
202303,R22 886.92,R20 798.55,R54 793.15,R356.06,R98 834.68,,,
202304,R27 533.52,R24 670.16,R66 273.07,R464.33,R118 941.08,,,
202305,R36 831.81,R32 057.54,R87 182.48,R655.93,R156 727.76,,,
202306,R39 290.71,R34 225.49,R92 180.60,R789.08,R166 485.88,,,
Grand Total,R163 598.08,R143 999.94,R388 288.67,R2 925.64,R698 812.33,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,best performing products to lowest performing products,,,,,
Sum of TOTAL_REVENUE,Column Labels,,,,,,,
Row Labels,202301,202302,202303,202304,202305,202306,Grand Total,
Coffee,4.47%,4.19%,5.48%,6.58%,8.64%,9.27%,38.63%,
Tea,3.24%,3.11%,3.99%,4.77%,6.37%,6.62%,28.11%,"top 3 performing produts(Coffe,Tea,Bakarry"
Bakery,1.36%,1.29%,1.70%,2.01%,2.66%,2.75%,11.78%,
Drinking Chocolate,1.19%,1.16%,1.47%,1.76%,2.34%,2.45%,10.36%,
Coffee beans,0.75%,0.58%,0.75%,0.98%,1.25%,1.42%,5.74%,"Middle performing peroducts we can create campain on,eg buy hot chocoate with 20% off"
Branded,0.27%,0.18%,0.26%,0.34%,0.41%,0.49%,1.95%,or buy one get one for free
Loose Tea,0.19%,0.18%,0.24%,0.26%,0.34%,0.40%,1.60%,
Flavours,0.14%,0.13%,0.17%,0.20%,0.27%,0.29%,1.20%,lowest performig products this can be promoted or removed from the menue
Packaged Chocolate,0.07%,0.06%,0.08%,0.12%,0.14%,0.14%,0.63%,
Grand Total,11.69%,10.90%,14.14%,17.02%,22.43%,23.82%,100.00%,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Count of SPEND_BENDS,Column Labels,,,,,,,
Row Labels,HIGH,LOW,MED,Very high,Grand Total,,,
Astoria,R1 212.00,R3 054.00,R2 639.00,R776.00,R7 681.00,,,
Hell's Kitchen,R1 043.00,R4 077.00,R2 268.00,R884.00,R8 272.00,,,
Lower Manhattan,R955.00,R3 874.00,R2 018.00,R975.00,R7 822.00,,,
Grand Total,R3 210.00,R11 005.00,R6 925.00,R2 635.00,R23 775.00,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
REVENUE ANALYSIS BY TIME BUCKET,,,,,,,,
Row Labels,Sum of TOTAL_REVENUE,,,,,,,
afternoon,23.41%,,,,,,,
evening,20.61%,,,,,,,
morning,55.56%,,,,,,,
night,0.42%,,,,,,,
Grand Total,100.00%,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
TOTAL MONTLY REVENUE,,,,,,,,
Row Labels,Count of SPEND_BENDS,,,,,,,
Jan,R3 772.00,,,,,,,
Feb,R3 726.00,,,,,,,
Mar,R3 893.00,,,,,,,
Apr,R4 024.00,,,,,,,
May,R4 157.00,,,,,,,
Jun,R4 203.00,,,,,,,
Grand Total,R23 775.00,,,,,,,
