TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,NUMBER_OF_SALES,MONTH_ID,MONTH_NAME,DAY_NAME,TIME_BUCKET,SPEND_BENDS,PRODUCT_CATEGORY,PRODUCT_TYPE,PRODUCT_DETAIL,STORE_LOCATION
51,17,11,202301,Jan,Sun,morning,HIGH,Coffee,Gourmet brewed coffee,Ethiopia Rg,Lower Manhattan
52.7,17,13,202301,Jan,Sun,morning,HIGH,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Lower Manhattan
76.5,17,12,202301,Jan,Sun,morning,Very high,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Lower Manhattan
44,22,12,202301,Jan,Sun,morning,HIGH,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Lower Manhattan
36,12,12,202301,Jan,Sun,morning,MED,Bakery,Scone,Oatmeal Scone,Lower Manhattan
34,17,9,202301,Jan,Sun,morning,MED,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Lower Manhattan
93.5,22,15,202301,Jan,Sun,morning,Very high,Coffee,Barista Espresso,Latte Rg,Lower Manhattan
52.5,15,8,202301,Jan,Sun,morning,HIGH,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Lower Manhattan
51,20,11,202301,Jan,Sun,morning,HIGH,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Lower Manhattan
70,20,11,202301,Jan,Sun,morning,Very high,Coffee,Gourmet brewed coffee,Ethiopia Lg,Lower Manhattan
72,24,13,202301,Jan,Sun,morning,Very high,Tea,Brewed Black tea,Earl Grey Lg,Lower Manhattan
57,19,11,202301,Jan,Sun,morning,HIGH,Tea,Brewed Green tea,Serenity Green Tea Lg,Lower Manhattan
37.5,10,10,202301,Jan,Sun,morning,MED,Bakery,Scone,Jumbo Savory Scone,Lower Manhattan
35,14,9,202301,Jan,Sun,morning,MED,Tea,Brewed herbal tea,Lemon Grass Rg,Hell's Kitchen
54,12,8,202301,Jan,Sun,morning,HIGH,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Hell's Kitchen
66.5,14,9,202301,Jan,Sun,morning,Very high,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Hell's Kitchen
26,8,8,202301,Jan,Sun,morning,MED,Bakery,Biscotti,Hazelnut Biscotti,Lower Manhattan
40.8,16,10,202301,Jan,Sun,morning,Very high,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Hell's Kitchen
56.25,15,9,202301,Jan,Sun,morning,HIGH,Coffee,Barista Espresso,Cappuccino,Hell's Kitchen
39,13,8,202301,Jan,Sun,morning,MED,Tea,Brewed herbal tea,Lemon Grass Lg,Lower Manhattan
17.5,5,5,202301,Jan,Sun,morning,LOW,Bakery,Biscotti,Chocolate Chip Biscotti,Lower Manhattan
51,17,11,202301,Jan,Sun,morning,HIGH,Tea,Brewed herbal tea,Peppermint Lg,Lower Manhattan
52.5,14,14,202301,Jan,Sun,morning,HIGH,Bakery,Pastry,Chocolate Croissant,Lower Manhattan
45,18,13,202301,Jan,Sun,morning,HIGH,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Hell's Kitchen
36,9,7,202301,Jan,Sun,morning,MED,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Lower Manhattan
